timestamp,git_commit,tag,device,package,speed,luts_used,luts_total,luts_pct,ffs_used,ffs_total,ffs_pct,bram_used,bram_total,bram_pct,fmax_mhz,target_mhz,timing_pass,source_log,notes
2026-07-21T23:19:45+00:00,de8c256,soc_x32_sv_rvm_rvc_rdtime_i4k_d4k_dual_clint_uart_t32,LFE5U-12F,BG256,8,11582,24288,47.69,4597,24288,18.93,14,56,25.00,77.67,25.00,yes,riscv-64/out/sim/microsoc_exh_04_i4k_d4k_dual_nextpnr.log,soc exhaustive i4k + d4k + dual + clint + uart; threads=32
2026-07-21T23:20:29+00:00,de8c256,soc_x32_sv_rvm_rvc_rdtime_i4k_d4k_btb_clint_uart_t32,LFE5U-12F,BG256,8,7797,24288,32.10,3778,24288,15.56,16,56,28.57,73.96,25.00,yes,riscv-64/out/sim/microsoc_exh_05_i4k_d4k_btb_nextpnr.log,soc exhaustive i4k + d4k + btb + clint + uart; threads=32
2026-07-21T23:21:56+00:00,de8c256,soc_x32_sv_rvm_rvc_rdtime_i4k_d4k_btb_dual_clint_uart_t32,LFE5U-12F,BG256,8,12689,24288,52.24,5239,24288,21.57,18,56,32.14,68.69,25.00,yes,riscv-64/out/sim/microsoc_exh_06_i4k_d4k_btb_dual_nextpnr.log,soc exhaustive i4k + d4k + btb + dual + clint + uart; threads=32
2026-07-21T23:22:42+00:00,de8c256,soc_x32_sv_rvm_rvc_rdtime_i4k_d4k_btb_ras_clint_uart_t32,LFE5U-12F,BG256,8,8258,24288,34.00,3813,24288,15.70,16,56,28.57,77.13,25.00,yes,riscv-64/out/sim/microsoc_exh_07_i4k_d4k_btb_ras_nextpnr.log,soc exhaustive i4k + d4k + btb + ras + clint + uart; threads=32
2026-07-21T23:23:36+00:00,de8c256,soc_x32_sv_rvm_rvc_rdtime_i4k_d4k_btb_gshare_clint_uart_t32,LFE5U-12F,BG256,8,8215,24288,33.82,3973,24288,16.36,18,56,32.14,74.59,25.00,yes,riscv-64/out/sim/microsoc_exh_08_i4k_d4k_btb_gshare_nextpnr.log,soc exhaustive i4k + d4k + btb + gshare + clint + uart; threads=32
2026-07-21T23:24:51+00:00,de8c256,soc_x32_sv_rvm_rvc_rdtime_i4k_d4k_btb_ras_dual_clint_uart_t32,LFE5U-12F,BG256,8,12414,24288,51.11,5274,24288,21.71,18,56,32.14,62.11,25.00,yes,riscv-64/out/sim/microsoc_exh_09_i4k_d4k_btb_ras_dual_nextpnr.log,soc exhaustive i4k + d4k + btb + ras + dual + clint + uart; threads=32
2026-07-21T23:26:27+00:00,de8c256,soc_x32_sv_rvm_rvc_rdtime_i4k_d4k_btb_gshare_dual_clint_uart_t32,LFE5U-12F,BG256,8,12741,24288,52.46,5638,24288,23.21,20,56,35.71,66.32,25.00,yes,riscv-64/out/sim/microsoc_exh_10_i4k_d4k_btb_gshare_dual_nextpnr.log,soc exhaustive i4k + d4k + btb + gshare + dual + clint + uart; threads=32
2026-07-21T23:27:17+00:00,de8c256,soc_x32_sv_rvm_rvc_rdtime_i4k_d4k_btb_gshare_ras_clint_uart_t32,LFE5U-12F,BG256,8,8391,24288,34.55,4008,24288,16.50,18,56,32.14,77.70,25.00,yes,riscv-64/out/sim/microsoc_exh_11_i4k_d4k_btb_gshare_ras_nextpnr.log,soc exhaustive i4k + d4k + btb + gshare + ras + clint + uart; threads=32
2026-07-21T23:28:42+00:00,de8c256,soc_x32_sv_rvm_rvc_rdtime_i4k_d4k_btb_gshare_ras_dual_clint_uart_t32,LFE5U-12F,BG256,8,12871,24288,52.99,5673,24288,23.36,20,56,35.71,63.87,25.00,yes,riscv-64/out/sim/microsoc_exh_12_i4k_d4k_btb_gshare_ras_dual_nextpnr.log,soc exhaustive i4k + d4k + btb + gshare + ras + dual + clint + uart; threads=32
2026-07-22T00:04:49+00:00,de8c256,core_x32_rva_rvm_rvc_rdtime_base_t32,LFE5U-12F,BG256,8,3763,24288,15.49,1589,24288,6.54,0,56,0.00,79.11,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive base; threads=32
